City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
6185377,Yellowknife,90,CA,1603764028,67,62.46,-114.35,23.0,11.41
2400547,Gamba,100,GA,1603764281,88,-2.65,10.0,76.03,5.7
5919850,Chapais,90,CA,1603764161,86,49.78,-74.85,28.4,11.41
2331140,Makurdi,100,NG,1603764284,89,7.74,8.51,75.0,3.89
5880054,Barrow,90,US,1603763855,85,71.29,-156.79,19.4,10.29
1650232,Banjar,75,ID,1603764286,74,-8.19,114.97,82.4,5.82
4035715,Avarua,100,CK,1603764080,83,-21.21,-159.78,71.6,8.05
546105,Nikolskoye,75,RU,1603764097,87,59.7,30.79,50.0,8.95
5122534,Jamestown,90,US,1603764001,87,42.1,-79.24,44.01,9.17
2065594,Mount Isa,75,AU,1603764017,17,-20.73,139.5,82.4,5.82
935215,Saint-Philippe,90,RE,1603764291,78,-21.36,55.77,71.6,13.82
1842966,Gijang,0,KR,1603764130,62,35.24,129.21,59.0,2.24
6620339,Karratha,0,AU,1603764055,30,-20.74,116.85,86.41,6.82
3674702,Miranda,75,CO,1603764294,78,3.25,-76.23,75.2,5.82
1735106,George Town,20,MY,1603764296,83,5.41,100.34,84.2,3.36
2132606,Samarai,99,PG,1603764298,78,-10.62,150.67,82.08,6.87
2013392,Vilyuysk,97,RU,1603764299,92,63.76,121.62,10.26,5.57
2063042,Port Hedland,40,AU,1603764042,65,-20.32,118.57,82.4,10.29
3669087,Pueblo Bello,62,CO,1603764301,95,8.2,-76.53,74.61,1.32
1819729,Hong Kong,32,HK,1603764302,61,22.29,114.16,80.01,4.0
3647444,Calabozo,0,VE,1603764303,93,8.92,-67.43,75.0,4.54
1106677,Bambous Virieux,40,MU,1603764084,78,-20.34,57.76,73.0,8.05
1492566,Severo-Yeniseyskiy,93,RU,1603764305,97,60.37,93.04,13.86,4.43
3631412,Ocumare del Tuy,21,VE,1603764306,89,10.12,-66.78,72.5,2.84
3698359,Chicama,100,PE,1603764308,79,-7.84,-79.15,64.85,6.24
3421765,Nanortalik,97,GL,1603764309,91,60.14,-45.24,33.01,13.2
2239862,Malanje,100,AO,1603764310,97,-9.54,16.34,65.86,6.04
5044290,Saint Anthony,1,US,1603764066,58,45.02,-93.22,24.8,4.7
2208248,Kaitangata,19,NZ,1603764312,70,-46.28,169.85,53.01,15.01
2015701,Taksimo,5,RU,1603764313,84,56.34,114.88,19.69,3.42
5962442,Goderich,100,CA,1603763881,82,43.75,-81.72,46.0,10.6
3443061,Chui,94,UY,1603764316,80,-33.7,-53.46,56.28,11.18
2398283,Mitzic,100,GA,1603764317,99,0.78,11.55,67.73,4.25
3466704,Castro,100,BR,1603764318,92,-24.79,-50.01,61.9,3.33
1863978,Nishifukuma,75,JP,1603764038,59,33.77,130.47,75.99,2.24
1256693,Shājāpur,0,IN,1603764320,45,23.43,76.27,69.24,4.47
5855927,Hilo,90,US,1603764148,88,19.73,-155.09,75.99,12.75
3369157,Cape Town,0,ZA,1603763822,87,-33.93,18.42,61.0,6.93
3372472,Vila Franca do Campo,75,PT,1603764324,88,37.72,-25.43,68.0,17.22
1650434,Bambanglipuro,100,ID,1603764325,78,-7.95,110.28,81.03,8.39
3161733,Bergen,40,NO,1603764326,81,60.39,5.33,45.0,12.75
3652764,Puerto Ayora,51,EC,1603764327,92,-0.74,-90.35,68.0,1.99
6355222,Yulara,0,AU,1603764068,21,-25.24,130.99,77.0,6.93
2181625,Te Anau,2,NZ,1603764062,50,-45.42,167.72,59.04,7.31
2017155,Saskylakh,92,RU,1603764101,92,71.92,114.08,-0.29,5.61
3380290,Sinnamary,1,GF,1603764166,83,5.38,-52.95,79.79,8.48
4513583,Hamilton,90,US,1603764332,81,39.18,-84.53,48.2,4.7
1861280,Itoman,20,JP,1603764333,54,26.12,127.67,80.6,10.29
525426,Sobolevo,11,RU,1603764334,91,54.43,31.9,43.09,11.03
2126710,Beringovskiy,0,RU,1603764335,84,63.05,179.32,33.55,2.64
203717,Yangambi,15,CD,1603764072,96,0.81,24.43,69.35,1.03
2171099,Codrington,93,AU,1603764107,77,-38.27,141.97,58.26,13.69
1651810,Airai,58,TL,1603764339,56,-8.93,125.41,77.41,3.44
562627,Firovo,99,RU,1603764340,92,57.48,33.7,43.38,8.93
5866063,Kenai,90,US,1603764341,65,60.55,-151.26,44.6,12.75
3430863,Mar del Plata,0,AR,1603764204,76,-38.0,-57.56,55.99,5.82
4020109,Atuona,73,PF,1603764343,74,-9.8,-139.03,79.03,20.18
1507116,Dudinka,40,RU,1603764094,84,69.41,86.18,3.2,6.71
6096551,Pangnirtung,3,CA,1603764345,83,66.15,-65.71,7.38,7.34
1258698,Rameswaram,30,IN,1603764346,72,9.28,79.3,82.78,6.06
917688,Chongwe,1,ZM,1603764347,53,-15.33,28.68,67.82,5.3
3843123,Neuquén,0,AR,1603764229,24,-38.95,-68.06,66.2,10.29
986717,Kruisfontein,1,ZA,1603764100,88,-34.0,24.73,64.99,1.99
3346015,Sumbe,98,AO,1603764351,87,-11.21,13.84,74.84,8.05
2123278,Mil'kovo,100,RU,1603764353,95,54.72,158.62,38.32,5.39
3418910,Upernavik,36,GL,1603764124,83,72.79,-56.15,17.29,4.09
1058381,Morondava,0,MG,1603764355,70,-20.28,44.28,73.72,3.15
3404558,Cabedelo,20,BR,1603764356,83,-6.98,-34.83,78.8,4.7
1006984,East London,66,ZA,1603764273,84,-33.02,27.91,67.32,17.31
6089245,Norman Wells,75,CA,1603764359,79,65.28,-126.83,24.8,20.8
514796,Orlovskiy,47,RU,1603764360,58,46.87,42.06,47.19,14.05
3533462,Acapulco de Juárez,75,MX,1603764273,83,16.86,-99.89,84.2,5.82
797725,Kara-Tyube,2,RU,1603764362,78,44.63,45.44,47.97,8.05
2194098,Ahipara,69,NZ,1603764363,73,-35.17,173.17,68.52,8.75
3395458,Maragogi,0,BR,1603764365,83,-9.01,-35.22,76.21,10.71
